order_id,item_id,order_date,required_date,shipped_date,shipment_delay_days,product_id,product_name,category_name,brand_name,model_year,store_id,store_name,store_city,store_region,staff_id,staff_full_name,customer_id,customer_full_name,customer_city,customer_region,quantity,list_price,discount,total_revenue,discount_amount,net_sales
94,1,2016-02-27,2016-02-28,2016-02-29,1,11,"Surly Straggler 650b - 2016","Cyclocross Bicycles",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",929,"Thurman Ellis",Pleasanton,CA,2,1680.99,0.05,3361.98,168.0990,3193.8810
103,3,2016-03-03,2016-03-06,2016-03-05,-1,17,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",991,"Brigida Larson","Canyon Country",CA,2,429.00,0.20,858.00,171.6000,686.4000
107,4,2016-03-06,2016-03-09,2016-03-09,0,21,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",633,"Kiara Deleon",Anaheim,CA,2,269.99,0.07,539.98,37.7986,502.1814
118,1,2016-03-12,2016-03-14,2016-03-13,-1,22,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",577,"Danille Mcfarland",Rocklin,CA,2,269.99,0.20,539.98,107.9960,431.9840
124,1,2016-03-16,2016-03-18,2016-03-17,-1,5,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",403,"Elouise Fry","Canyon Country",CA,1,1320.99,0.10,1320.99,132.0990,1188.8910
132,1,2016-03-20,2016-03-22,2016-03-23,1,4,"Trek Fuel EX 8 29 - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",46,"Monika Berg",Encino,CA,2,2899.99,0.20,5799.98,1159.9960,4639.9840
142,3,2016-03-26,2016-03-27,2016-03-27,0,5,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",170,"Regine Gonzales",Oxnard,CA,2,1320.99,0.10,2641.98,264.1980,2377.7820
146,2,2016-03-28,2016-03-30,2016-03-30,0,26,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",288,"Keturah Massey",Banning,CA,2,599.99,0.07,1199.98,83.9986,1115.9814
150,3,2016-03-29,2016-03-31,2016-04-01,1,26,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",332,"Reena Higgins","Canyon Country",CA,2,599.99,0.20,1199.98,239.9960,959.9840
151,1,2016-03-29,2016-04-01,2016-03-31,-1,25,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",926,"Katina Mcintosh",Bakersfield,CA,1,499.99,0.07,499.99,34.9993,464.9907
154,3,2016-03-31,2016-04-01,2016-04-01,0,14,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1286,"Dione Pratt",Pleasanton,CA,2,269.99,0.20,539.98,107.9960,431.9840
156,1,2016-04-03,2016-04-06,2016-04-05,-1,26,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",357,"Sheri Cole","San Jose",CA,2,599.99,0.20,1199.98,239.9960,959.9840
159,2,2016-04-04,2016-04-06,2016-04-06,0,25,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",32,"Araceli Golden",Fullerton,CA,2,499.99,0.20,999.98,199.9960,799.9840
162,1,2016-04-06,2016-04-08,2016-04-07,-1,23,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",31,"Williemae Holloway",Oakland,CA,2,299.99,0.10,599.98,59.9980,539.9820
165,1,2016-04-08,2016-04-10,2016-04-10,0,14,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",574,"Adriene Rivera",Encino,CA,2,269.99,0.05,539.98,26.9990,512.9810
168,1,2016-04-09,2016-04-12,2016-04-11,-1,21,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1147,"Kandace Ayers","Santa Monica",CA,1,269.99,0.05,269.99,13.4995,256.4905
171,1,2016-04-11,2016-04-14,2016-04-14,0,14,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",237,"Elvera Peck",Banning,CA,2,269.99,0.05,539.98,26.9990,512.9810
177,3,2016-04-16,2016-04-19,2016-04-19,0,5,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",121,"Lucy Woods","Palos Verdes Peninsula",CA,2,1320.99,0.20,2641.98,528.3960,2113.5840
181,1,2016-04-18,2016-04-20,2016-04-20,0,25,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",459,"Latosha Dalton",Bakersfield,CA,2,499.99,0.10,999.98,99.9980,899.9820
185,2,2016-04-20,2016-04-20,NULL,NULL,22,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",24,"Corene Wall",Atwater,CA,2,269.99,0.20,539.98,107.9960,431.9840
189,1,2016-04-23,2016-04-24,2016-04-26,2,2,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes",Ritchey,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1288,"Allie Conley",Lawndale,CA,1,749.99,0.20,749.99,149.9980,599.9920
191,3,2016-04-27,2016-04-28,2016-04-28,0,12,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",919,"Ruthanne Hoover",Torrance,CA,1,549.99,0.07,549.99,38.4993,511.4907
193,2,2016-04-28,2016-04-30,2016-04-30,0,12,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1366,"Trena Rogers",Campbell,CA,2,549.99,0.10,1099.98,109.9980,989.9820
202,1,2016-05-03,2016-05-05,2016-05-04,-1,3,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",600,"Joi Reeves","San Diego",CA,2,999.99,0.05,1999.98,99.9990,1899.9810
216,1,2016-05-11,2016-05-14,2016-05-13,-1,16,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",267,"Angelina Lloyd","Apple Valley",CA,2,599.99,0.05,1199.98,59.9990,1139.9810
221,1,2016-05-13,2016-05-16,2016-05-14,-2,12,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1218,"Donovan Cantrell",Oakland,CA,1,549.99,0.05,549.99,27.4995,522.4905
224,1,2016-05-17,2016-05-18,2016-05-19,1,20,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",157,"Carola Rodriquez",Banning,CA,1,599.99,0.07,599.99,41.9993,557.9907
225,2,2016-05-17,2016-05-20,2016-05-19,-1,24,"Electra Townie Original 21D - 2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",307,"Fransisca Nicholson",Glendora,CA,2,549.99,0.10,1099.98,109.9980,989.9820
226,3,2016-05-17,2016-05-19,2016-05-20,1,26,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",501,"Tony Hicks",Anaheim,CA,1,599.99,0.20,599.99,119.9980,479.9920
232,1,2016-05-20,2016-05-23,2016-05-23,0,9,"Trek Conduit+ - 2016","Electric Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1360,"Latashia Travis",Upland,CA,2,2999.99,0.10,5999.98,599.9980,5399.9820
247,2,2016-05-30,2016-06-01,2016-06-01,0,15,"Electra Moto 1 - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",928,"Joann Barber","Santa Monica",CA,2,529.99,0.07,1059.98,74.1986,985.7814
257,2,2016-06-05,2016-06-06,2016-06-08,2,8,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1314,"Joeann Garrison",Ontario,CA,2,1799.99,0.10,3599.98,359.9980,3239.9820
261,1,2016-06-08,2016-06-10,2016-06-09,-1,3,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1045,"Pasquale Hogan",Vista,CA,1,999.99,0.10,999.99,99.9990,899.9910
264,2,2016-06-10,2016-06-10,NULL,NULL,25,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",5,"Charolette Rice",Sacramento,CA,1,499.99,0.05,499.99,24.9995,474.9905
267,1,2016-06-11,2016-06-14,2016-06-14,0,8,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",282,"Randolph Chase","San Lorenzo",CA,1,1799.99,0.10,1799.99,179.9990,1619.9910
268,1,2016-06-11,2016-06-14,2016-06-12,-2,22,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",540,"Shery Randolph",Ontario,CA,2,269.99,0.07,539.98,37.7986,502.1814
278,2,2016-06-20,2016-06-23,2016-06-21,-2,19,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1301,"Raven Curtis",Lawndale,CA,1,449.00,0.10,449.00,44.9000,404.1000
283,1,2016-06-23,2016-06-26,2016-06-26,0,20,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",181,"Olevia Pitts","Redondo Beach",CA,2,599.99,0.20,1199.98,239.9960,959.9840
285,3,2016-06-25,2016-06-26,2016-06-27,1,6,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",319,"Justin Newton","Apple Valley",CA,2,469.99,0.20,939.98,187.9960,751.9840
310,2,2016-07-12,2016-07-13,2016-07-13,0,26,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",627,"Deloris Larson",Duarte,CA,1,599.99,0.05,599.99,29.9995,569.9905
320,3,2016-07-19,2016-07-20,2016-07-21,1,16,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1428,"Carola Johns","Santa Cruz",CA,2,599.99,0.05,1199.98,59.9990,1139.9810
338,1,2016-07-28,2016-07-29,2016-07-30,1,22,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1333,"Omega Huff","Santa Monica",CA,1,269.99,0.20,269.99,53.9980,215.9920
341,1,2016-07-31,2016-08-03,2016-08-01,-2,22,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1357,"Karren Lamb",Fresno,CA,2,269.99,0.20,539.98,107.9960,431.9840
349,5,2016-08-03,2016-08-03,NULL,NULL,23,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",30,"Jamaal Albert",Torrance,CA,2,299.99,0.07,599.98,41.9986,557.9814
350,1,2016-08-03,2016-08-03,NULL,NULL,25,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",31,"Williemae Holloway",Oakland,CA,1,499.99,0.05,499.99,24.9995,474.9905
351,1,2016-08-03,2016-08-06,2016-08-04,-2,13,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1307,"Cinda Rocha","Los Banos",CA,2,269.99,0.05,539.98,26.9990,512.9810
362,1,2016-08-09,2016-08-11,2016-08-11,0,12,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",187,"Hedwig Paul","Apple Valley",CA,2,549.99,0.10,1099.98,109.9980,989.9820
369,2,2016-08-15,2016-08-18,2016-08-18,0,20,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1285,"Garth Huff",Glendora,CA,1,599.99,0.10,599.99,59.9990,539.9910
374,4,2016-08-17,2016-08-19,2016-08-18,-1,3,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1313,"Dante Grimes",Duarte,CA,2,999.99,0.20,1999.98,399.9960,1599.9840
389,3,2016-08-22,2016-08-24,2016-08-25,1,18,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",53,"Saturnina Garner",Glendora,CA,2,449.00,0.07,898.00,62.8600,835.1400
392,3,2016-08-23,2016-08-26,2016-08-24,-2,25,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",176,"Carley Reynolds","South El Monte",CA,1,499.99,0.20,499.99,99.9980,399.9920
394,1,2016-08-26,2016-08-28,2016-08-29,1,7,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",522,"Tammera Fischer",Oakland,CA,2,3999.99,0.20,7999.98,1599.9960,6399.9840
398,1,2016-08-29,2016-08-30,2016-09-01,2,16,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",447,"Chasidy Tran",Vista,CA,2,599.99,0.10,1199.98,119.9980,1079.9820
403,2,2016-08-31,2016-09-01,2016-09-02,1,21,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",578,"Salena Day","San Lorenzo",CA,1,269.99,0.20,269.99,53.9980,215.9920
408,2,2016-09-01,2016-09-02,2016-09-02,0,11,"Surly Straggler 650b - 2016","Cyclocross Bicycles",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1071,"Shemeka Lyons",Pomona,CA,2,1680.99,0.10,3361.98,336.1980,3025.7820
411,1,2016-09-02,2016-09-04,2016-09-04,0,8,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",261,"Ferne Kline",Fullerton,CA,2,1799.99,0.05,3599.98,179.9990,3419.9810
412,1,2016-09-02,2016-09-04,2016-09-04,0,11,"Surly Straggler 650b - 2016","Cyclocross Bicycles",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1202,"Carmina Emerson",Banning,CA,1,1680.99,0.20,1680.99,336.1980,1344.7920
417,4,2016-09-04,2016-09-05,2016-09-06,1,6,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",359,"Angie Powers",Pomona,CA,2,469.99,0.05,939.98,46.9990,892.9810
420,1,2016-09-05,2016-09-06,2016-09-07,1,14,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",72,"Petronila Norris","South El Monte",CA,1,269.99,0.05,269.99,13.4995,256.4905
421,1,2016-09-05,2016-09-06,2016-09-08,2,12,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",240,"Le Deleon",Banning,CA,2,549.99,0.07,1099.98,76.9986,1022.9814
424,2,2016-09-08,2016-09-11,2016-09-11,0,3,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",67,"Tommie Melton",Sacramento,CA,1,999.99,0.20,999.99,199.9980,799.9920
427,1,2016-09-09,2016-09-10,2016-09-11,1,17,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",434,"Douglass Little",Duarte,CA,1,429.00,0.10,429.00,42.9000,386.1000
432,1,2016-09-12,2016-09-15,2016-09-14,-1,16,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",169,"Karla Kirk","Palos Verdes Peninsula",CA,1,599.99,0.07,599.99,41.9993,557.9907
441,2,2016-09-18,2016-09-19,2016-09-19,0,7,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",704,"Morton Barron",Bakersfield,CA,2,3999.99,0.07,7999.98,559.9986,7439.9814
444,1,2016-09-19,2016-09-20,2016-09-21,1,21,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",30,"Jamaal Albert",Torrance,CA,1,269.99,0.07,269.99,18.8993,251.0907
457,2,2016-09-24,2016-09-27,2016-09-27,0,10,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1349,"Kami Rios",Encino,CA,2,1549.00,0.05,3098.00,154.9000,2943.1000
468,1,2016-09-29,2016-10-02,2016-09-30,-2,6,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1261,"Adelaida Hancock","San Pablo",CA,1,469.99,0.10,469.99,46.9990,422.9910
470,3,2016-09-30,2016-10-02,2016-10-02,0,12,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",641,"Derrick Marks",Glendora,CA,2,549.99,0.07,1099.98,76.9986,1022.9814
